"nct_id","title","subject","author","status","last_update","city","state","facility","study_url"
"NCT06730906","PACTAID App in Adults With Type 1 Diabetes to Help Manage Exercise","Type 1 Diabetes Mellitus","Mayo Clinic","ENROLLING_BY_INVITATION","2026-05-18","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT06730906"
"NCT07351656","A Study Of Heart Disease Using AI-Enabled Electrocardiography And Focused Cardiac Ultrasound","Heart Disease","Mayo Clinic","RECRUITING","2026-05-14","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT07351656"
"NCT07580157","A Study Of Focused Shockwave For Anterior Knee Pain Following Anterior Cruciate Ligament Reconstruction","Anterior Cruciate Ligament Injuries","Mayo Clinic","ENROLLING_BY_INVITATION","2026-05-12","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT07580157"
"NCT05538247","Saccharomyces Boulardii CNCM I-745 on Intestinal Barrier Function","Healthy","Mayo Clinic","COMPLETED","2026-05-11","Rochester","MN","Mayo Clinic","https://clinicaltrials.gov/study/NCT05538247"
"NCT06609148","Probiotic in Patients With Bile Acid Malabsorption/Diarrhea","Bile Acid Malabsorption; Bile Acid Diarrhea","Mayo Clinic","RECRUITING","2026-05-11","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT06609148"
"NCT05167721","Randomized Double-Blind Placebo-Controlled Adaptive Design Trial Of Intrathecally Administered Autologous Mesenchymal Stem Cells In Multiple System Atrophy","Multiple System Atrophy","Mayo Clinic","ACTIVE_NOT_RECRUITING","2026-05-06","Rochester","MN","Mayo Clinic","https://clinicaltrials.gov/study/NCT05167721"
"NCT07570953","A Study Of Synthetic THC And Sleep","Obstructive Sleep Apnea","Mayo Clinic","NOT_YET_RECRUITING","2026-05-06","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT07570953"
"NCT03179904","TVB-2640 and Trastuzumab With Paclitaxel or Endocrine Therapy for Treatment of HER2 Positive Metastatic Breast Cancer","Advanced Breast Carcinoma; HER2-Positive Breast Carcinoma; Anatomic Stage III Breast Cancer AJCC v8; Anatomic Stage IV Breast Cancer AJCC v8; HER2-positive Breast Cancer","Mayo Clinic","ACTIVE_NOT_RECRUITING","2026-05-05","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT03179904"
"NCT04521699","Examination of the Impact of CalmiGo's Stress Management Device on Vascular Heath and Cardiovascular Disease Risk.","Myocardial Infarction","Mayo Clinic","RECRUITING","2026-05-05","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT04521699"
"NCT04494347","Watchman for Patients With Atrial Fibrillation Undergoing Transcatheter Mitral Valve Repair (WATCH-TMVR)","Nonvalvular Atrial Fibrillation; Severe Degenerative Mitral Regurgitation","Mayo Clinic","COMPLETED","2026-05-01","Rochester","MN","Mayo Clinic","https://clinicaltrials.gov/study/NCT04494347"
"NCT05612100","Endocrine Therapy-Induced Alopecia in Postmenopausal and Premenopausal Female Breast Cancer Patients","Breast Carcinoma","Mayo Clinic","RECRUITING","2026-04-30","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT05612100"
"NCT07285863","A Study Of Effect Of Secretin For In Injection (Chirostim) On Pancreatic Fluid Composition In Healthy Subjects","Exocrine Pancreatic Insufficiency; Chronic Pancreatitis","Mayo Clinic","RECRUITING","2026-04-28","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT07285863"
"NCT04856046","Detection of Plasma DNA Methylation in Peripheral Blood From Patients With Resectable Liver Cancer","Resectable Hepatocellular Carcinoma","Mayo Clinic","ACTIVE_NOT_RECRUITING","2026-04-24","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT04856046"
"NCT04626167","Concomitant Renal and Urinary Bladder Allograft Transplantation","Chronic Kidney Diseases; Bladder Dysfunction; Bladder Absence; Posterior Urethral Valve; Neurogenic Bladder; Bladder Exstrophy; Bladder Outlet Obstruction; Failure, Kidney; Transplant","Mayo Clinic","RECRUITING","2026-04-23","Rochester","MN","Mayo Clinic","https://clinicaltrials.gov/study/NCT04626167"
"NCT06177535","A Study of Oral Kavalactones Effect on Nurses","Stress","Mayo Clinic","ACTIVE_NOT_RECRUITING","2026-04-23","Rochester","MN","Mayo Clinic Minnesota","https://clinicaltrials.gov/study/NCT06177535"
"NCT06356272","Oropharynx (OPX) Biomarker Trial","Clinical Stage III HPV-Mediated (p16-Positive) Oropharyngeal Carcinoma AJCC v8; Clinical Stage IV HPV-Mediated (p16-Positive) Oropharyngeal Carcinoma AJCC v8; Metastatic Oropharyngeal Squamous Cell Carcinoma; Oropharyngeal Squamous Cell Carcinoma; Recurrent Oropharyngeal Squamous Cell Carcinoma; Stage III Oropharyngeal (p16-Negative) Carcinoma AJCC v8; Stage IV Oropharyngeal (p16-Negative) Carcinoma AJCC v8; Head and Neck Carcinoma; Head and Neck Neoplasm; Salivary Gland Neoplasms; Thyroid Gland Neoplasm","Mayo Clinic","RECRUITING","2026-04-22","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT06356272"
"NCT06965166","Contrast-Enhanced Photon-Counting Detector CT (PCD-CT) for the Local Staging of Rectal Cancer","Rectal Carcinoma","Mayo Clinic","RECRUITING","2026-04-22","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT06965166"
"NCT06315595","Improvements in Dynamic Contrast-Enhanced MR Angiography and Perfusion and Non-Contrast MRI","Prostate Neoplasm","Mayo Clinic","RECRUITING","2026-04-17","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT06315595"
"NCT06350734","Quality of Life After Treatment for Bladder Cancer: The Bladder Cancer Survivorship Study","Stage 0a Bladder Cancer AJCC v8; Stage 0is Bladder Cancer AJCC v8; Stage I Bladder Cancer AJCC v8; Stage II Bladder Cancer AJCC v8; Stage IIIA Bladder Cancer AJCC v8","Mayo Clinic","ACTIVE_NOT_RECRUITING","2026-04-17","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT06350734"
"NCT03418038","Ascorbic Acid and Chemotherapy for the Treatment of Relapsed or Refractory Lymphoma, CCUS, and Chronic Myelomonocytic Leukemia","Clonal Cytopenia of Undetermined Significance; High Grade B-Cell Lymphoma With MYC and BCL2 or BCL6 Rearrangements; Recurrent Diffuse Large B-Cell Lymphoma; Recurrent Hodgkin Lymphoma; Recurrent Lymphoma; Refractory Diffuse Large B-Cell Lymphoma; Refractory Lymphoma; Chronic Myelomonocytic Leukemia","Mayo Clinic","RECRUITING","2026-04-16","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT03418038"
"NCT06275074","Dry Needling and Therapeutic Exercise on Sleep in Individuals With Chronic Neck Pain and Sleep Disturbance","Neck Pain; Sleep Disturbance","Mayo Clinic","ACTIVE_NOT_RECRUITING","2026-04-16","Rochester","MN","Mayo Clinic - Motion Analysis Lab","https://clinicaltrials.gov/study/NCT06275074"
"NCT06295770","Obinutuzumab in Treatment of Fibrillary Glomerulonephritis","Fibrillary Glomerulonephritis","Mayo Clinic","RECRUITING","2026-04-13","Rochester","MN","Mayo Clinic","https://clinicaltrials.gov/study/NCT06295770"
"NCT07062016","Molecular and ctDNA Characterization of High-Risk Endometrial Cancer","Endometrial Carcinoma; Endometrial High Grade Endometrioid Adenocarcinoma; Stage II Endometrial Cancer; Stage III Endometrial Cancer; Stage IV Endometrial Cancer","Mayo Clinic","RECRUITING","2026-04-13","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT07062016"
"NCT05920798","Vaccine Therapy Plus Pembrolizumab in Treating Advanced Ovarian, Fallopian Tube, or Primary Peritoneal Cavity Cancer","Fallopian Tube Carcinosarcoma; Primary Peritoneal Carcinosarcoma; Recurrent Fallopian Tube Carcinoma; Recurrent Fallopian Tube Clear Cell Adenocarcinoma; Recurrent Fallopian Tube Endometrioid Adenocarcinoma; Recurrent Fallopian Tube High Grade Serous Adenocarcinoma; Recurrent Ovarian Carcinoma; Recurrent Ovarian Carcinosarcoma; Recurrent Ovarian Clear Cell Adenocarcinoma; Recurrent Ovarian Endometrioid Adenocarcinoma; Recurrent Ovarian High Grade Serous Adenocarcinoma; Recurrent Primary Peritoneal Carcinoma; Recurrent Primary Peritoneal Clear Cell Adenocarcinoma; Recurrent Primary Peritoneal Endometrioid Adenocarcinoma; Recurrent Primary Peritoneal High Grade Serous Adenocarcinoma; Recurrent Primary Peritoneal Carcinosarcoma","Mayo Clinic","RECRUITING","2026-04-06","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT05920798"
"NCT04329039","Somatostatin Analogues With Perioperative Antibiotics Versus Prolonged Antibiotics","Pancreatic Diseases","Mayo Clinic","SUSPENDED","2026-04-03","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT04329039"
"NCT06729996","Pioglitazone Versus Empagliflozin for Chronic Pancreatitis/Recurrent Acute Pancreatitis Associated Diabetes Mellitus","Pancreatitis, Chronic; Pancreatitis, Acute; Diabetes Mellitus","Mayo Clinic","RECRUITING","2026-04-03","Rochester","MN","Mayo Clinic","https://clinicaltrials.gov/study/NCT06729996"
"NCT05898646","Daratumumab Maintenance Therapy for Improving Survival in Patients With Light Chain Amyloidosis, EMILIA Trial","AL Amyloidosis","Mayo Clinic","RECRUITING","2026-03-30","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT05898646"
"NCT06472830","MGUS/MM Awareness and Genetics Insights Campaign (MAGIC) Screening Study","Monoclonal Gammopathy of Undetermined Significance","Mayo Clinic","ENROLLING_BY_INVITATION","2026-03-30","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT06472830"
"NCT07497633","Spontaneous Coronary Artery Dissection (SCAD) Avatar Study","Spontaneous Coronary Artery Dissection","Mayo Clinic","NOT_YET_RECRUITING","2026-03-27","Rochester","MN","Mayo Clinic","https://clinicaltrials.gov/study/NCT07497633"
"NCT07089758","A Study for Cerebral Open Flow Microperfusion","Glioma; Glioblastoma","Mayo Clinic","NOT_YET_RECRUITING","2026-03-23","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT07089758"
"NCT07488195","A Study Of Phototherapy In Patients With Dementia To Improve BPSD","Dementia","Mayo Clinic","NOT_YET_RECRUITING","2026-03-23","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT07488195"
"NCT07455370","A Study of Moral Distress, Moral Injury and Post-Traumatic Stress for Nurses","Moral Injury; Moral Distress; Post-Traumatic Stress; Nurse Well-being; Wellbeing; Wellness, Psychological; Wellness; Nurses; Nurse Health","Mayo Clinic","ENROLLING_BY_INVITATION","2026-03-20","Rochester","MN","Mayo Clinic","https://clinicaltrials.gov/study/NCT07455370"
"NCT07012148","Optimizing Therapy in Epilepsy Using Seizure Forecasts Via EEG and Wearables","Focal Epilepsy; Generalized Seizure; Drug Refractory Epilepsy","Mayo Clinic","RECRUITING","2026-03-19","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT07012148"
"NCT03155854","The Effects of Prophylactic Limited Palmar Fasciectomy on Surgical Outcomes and Scarring","Dupuytren Contracture","Mayo Clinic","RECRUITING","2026-03-16","Rochester","MN","Mayo Clinic","https://clinicaltrials.gov/study/NCT03155854"
"NCT04190446","A Study to Evaluate Hypofractionated Proton Therapy or IMRT for Recurrent, Oligometastatic Prostate Cancer","Metastatic Prostate Adenocarcinoma; Oligometastatic Prostate Carcinoma; Prostate Adenocarcinoma; Recurrent Prostate Carcinoma; Stage IV Prostate Cancer AJCC v8","Mayo Clinic","ACTIVE_NOT_RECRUITING","2026-03-16","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT04190446"
"NCT05860751","The Effect of Dry Needling With Electrical Stimulation on Individuals With Restless Legs Syndrome","Neck Pain","Mayo Clinic","NOT_YET_RECRUITING","2026-03-16","Rochester","MN","Mayo Clinic","https://clinicaltrials.gov/study/NCT05860751"
"NCT07207564","Integrating Molecular Pathology, Radiology, and Genetics to Improve Breast Cancer Risk","Breast Carcinoma","Mayo Clinic","RECRUITING","2026-03-13","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT07207564"
"NCT06349642","Immune Checkpoint Inhibitor Response in Solid Tumors Using a Live Tumor Diagnostic Platform","Early Stage Triple-Negative Breast Carcinoma; Metastatic Bladder Urothelial Carcinoma; Metastatic Cervical Carcinoma; Metastatic Clear Cell Renal Cell Carcinoma; Metastatic Colorectal Carcinoma; Metastatic Endometrial Carcinoma; Metastatic Esophageal Carcinoma; Metastatic Liver Carcinoma; Metastatic Lung Non-Small Cell Carcinoma; Metastatic Malignant Skin Neoplasm; Metastatic Malignant Solid Neoplasm; Resectable Lung Non-Small Cell Carcinoma; Early Stage Lung Non-Small Cell Carcinoma; Resectable Malignant Solid Neoplasm; Resectable Triple-Negative Breast Carcinoma; Stage III Renal Cell Cancer AJCC v8; Stage IV Cervical Cancer AJCC v8; Stage IV Renal Cell Cancer AJCC v8; Stage IV Uterine Corpus Carcinoma or Carcinosarcoma AJCC v8; Recurrent Cervical Carcinoma; Recurrent Colorectal Carcinoma; Recurrent Endometrial Carcinoma; Recurrent Esophageal Carcinoma; Recurrent Liver Carcinoma; Recurrent Lung Non-Small Cell Carcinoma; Recurrent Malignant Skin Neoplasm; Recurrent Malignant Solid Neoplasm","Mayo Clinic","RECRUITING","2026-03-12","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT06349642"
"NCT03190889","Neuromuscular Intervention Targeted to Mechanisms of ACL Load in Female Athletes","Rehabilitation; ACL Reconstruction","Mayo Clinic","COMPLETED","2026-03-11","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT03190889"
"NCT07210411","Acute and Chronic Repercussion of Spinal Cord Stimulation After Spinal Cord Injury","Spinal Cord Injuries","Mayo Clinic","RECRUITING","2026-03-09","Rochester","MN","Mayo Clinic","https://clinicaltrials.gov/study/NCT07210411"
"NCT07456852","Vasodilator Therapy With Isosorbide Mononitrate or Diltiazem to Reduce Vasotoxicity in Patients With Gastrointestinal Cancer Receiving Fluoropyrimidine Therapy","Malignant Digestive System Neoplasm","Mayo Clinic","NOT_YET_RECRUITING","2026-03-09","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT07456852"
"NCT06220396","CArdioMEtabolic Function and Reserve Capacity in Healthy Adults: The CAMERA Study","Healthy","Mayo Clinic","RECRUITING","2026-03-05","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT06220396"
"NCT06580158","AI in Outpatient Practice for Diagnosing Aortic Stenosis and Diastolic Dysfunction","Aortic Stenosis; Diastolic Dysfunction","Mayo Clinic","RECRUITING","2026-03-04","Rochester","MN","Mayo Clinic","https://clinicaltrials.gov/study/NCT06580158"
"NCT06846359","Treatment of Upper Gastrointestinal Symptoms Using Hypnotherapy Sessions","GI Symptoms","Mayo Clinic","RECRUITING","2026-03-04","Rochester","MN","Mayo Clinic","https://clinicaltrials.gov/study/NCT06846359"
"NCT04703244","Development of Patient Derived Xenografts (PDX) in Patients With Breast Cancer","Breast Cancer; Residual","Mayo Clinic","RECRUITING","2026-03-03","Rochester","MN","Mayo Clinic","https://clinicaltrials.gov/study/NCT04703244"
"NCT07095504","A Study of Cardiac Rehabilitation Intervention to Improve Cardiovascular Health and Outcomes","Cardiovascular Health","Mayo Clinic","ACTIVE_NOT_RECRUITING","2026-02-27","Rochester","MN","Mayo Clinic","https://clinicaltrials.gov/study/NCT07095504"
"NCT06217874","Collection of Specimens and Clinical Data for Patients With Recurrent or Metastatic Breast Cancer or Male Breast Cancer","Breast Carcinoma; Metastatic Breast Carcinoma; Recurrent Breast Carcinoma","Mayo Clinic","RECRUITING","2026-02-25","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT06217874"
"NCT05782140","ALgorithms Adapted From Remote Monitoring","Surgery","Mayo Clinic","TERMINATED","2026-02-24","Rochester","MN","Mayo Clinic in Rochester","https://clinicaltrials.gov/study/NCT05782140"
